Date,ICCO daily price (US$/tonne),TAVG,TMIN,TMAX,PRCP
2025-02-27,9099.66,NA,NA,NA,NA
2025-02-26,9089.949999999999,NA,NA,NA,NA
2025-02-25,8668.57,NA,NA,NA,NA
2025-02-24,8408.720000000001,NA,NA,NA,NA
2025-02-21,9106.42,NA,NA,NA,NA
2025-02-20,9961.58,NA,NA,NA,NA
2025-02-19,10050.88,NA,NA,NA,NA
2025-02-18,10123.9,NA,NA,NA,NA
2025-02-17,10107.04,NA,NA,NA,NA
2025-02-14,10170.58,NA,NA,NA,NA
2025-02-13,10337.68,NA,NA,NA,NA
2025-02-12,10010.220000000001,NA,NA,NA,NA
2025-02-11,10045.51,NA,NA,NA,NA
2025-02-10,9714.16,NA,NA,NA,NA
2025-02-07,9901.630000000001,NA,NA,NA,NA
2025-02-06,9982.46,NA,NA,NA,NA
2025-02-05,10430.89,NA,NA,NA,NA
2025-02-04,10747.88,NA,NA,NA,NA
2025-02-03,10761.05,NA,NA,NA,NA
2025-01-31,10722.44,NA,NA,NA,NA
2025-01-30,10912.2,NA,NA,NA,NA
2025-01-29,11352.54,NA,NA,NA,NA
2025-01-28,11109.4,NA,NA,NA,NA
2025-01-27,11191.349999999999,NA,NA,NA,NA
2025-01-24,11337.94,NA,NA,NA,NA
2025-01-23,11235.17,NA,NA,NA,NA
2025-01-22,11335.32,NA,NA,NA,NA
2025-01-21,11098.84,NA,NA,NA,NA
2025-01-20,10849.07,NA,NA,NA,NA
2025-01-17,10642.55,NA,NA,NA,NA
2025-01-16,10061.34,NA,NA,NA,NA
2025-01-15,10249.68,NA,NA,NA,NA
2025-01-14,10247.28,NA,NA,NA,NA
2025-01-13,10295.27,NA,NA,NA,NA
2025-01-10,10012.62,NA,NA,NA,NA
2025-01-09,10316.47,NA,NA,NA,NA
2025-01-08,9981.39,NA,NA,NA,NA
2025-01-07,10682.11,NA,NA,NA,NA
2025-01-06,10698.29,NA,NA,NA,NA
2025-01-03,10693.1,NA,NA,NA,NA
2025-01-02,10580.349999999999,NA,NA,NA,NA
2024-12-31,10888.05,NA,NA,NA,NA
2024-12-30,10676.42,NA,NA,NA,NA
2024-12-27,9544.9,NA,NA,NA,NA
2024-12-26,10233.99,NA,NA,NA,NA
2024-12-24,10943.88,NA,NA,NA,NA
2024-12-23,10969.48,NA,NA,NA,NA
2024-12-20,11197.5,NA,NA,NA,NA
2024-12-19,11414.83,NA,NA,NA,NA
2024-12-18,11984.66,NA,NA,NA,NA
2024-12-17,11280.48,NA,NA,NA,NA
2024-12-16,11350.31,NA,NA,NA,NA
2024-12-13,10816.12,NA,NA,NA,NA
2024-12-12,10388.7,NA,NA,NA,NA
2024-12-11,10136.26,NA,NA,NA,NA
2024-12-10,10124.83,NA,NA,NA,NA
2024-12-09,9727.65,NA,NA,NA,NA
2024-12-06,9462.84,NA,NA,NA,NA
2024-12-05,9459.130000000001,NA,NA,NA,NA
2024-12-04,9020.61,NA,NA,NA,NA
2024-12-03,8720.04,NA,NA,NA,NA
