Month,Mid.Rate,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,Cocoa_Trend,logprice,Price_NY,log_return_rate,Is_Holiday,YEAR,MONTH_NUM
2008-05-01,0.9906064516129033,26.33677419354839,31.160967741935483,22.63290322580645,3.7764516129032257,18.669677419354837,18.0,7.879002212408519,2641.8812903225808,0.05751115951837078,0,2008,5
2008-06-01,1.0105166666666667,25.109666666666666,29.00133333333333,22.031,7.184,16.832666666666668,24.0,7.998028316986424,2977.8336666666664,0.13821076901429138,0,2008,6
2008-07-01,1.037816129032258,24.325483870967744,28.20451612903226,21.27258064516129,4.116451612903226,14.755161290322581,21.0,7.972249617138467,2901.6774193548385,-0.12384916325482055,0,2008,7
2008-08-01,1.0801677419354838,24.141612903225806,28.25,20.87258064516129,4.408709677419355,15.083870967741936,22.0,7.930199737659324,2782.762580645161,-0.04644115314737139,0,2008,8
2008-09-01,1.1118866666666667,24.743666666666666,28.578333333333333,21.597666666666665,5.608333333333333,15.098,19.0,7.8815196143386155,2648.9943333333335,-0.08397469223244336,0,2008,9
2008-10-01,1.1373516129032257,25.217741935483872,29.23516129032258,21.83516129032258,4.02258064516129,17.412258064516127,22.0,7.701775144153208,2219.3222580645165,-0.19612878620213262,1,2008,10
2008-11-01,1.1648033333333332,25.83533333333333,30.764000000000003,21.524333333333335,2.7456666666666667,17.843666666666667,19.0,7.62372402886974,2048.822333333333,0.088069759862717,1,2008,11
2008-12-01,1.1950387096774193,26.364193548387096,32.685483870967744,21.406774193548387,1.0938709677419356,17.234516129032258,23.0,7.799939828378137,2447.2474193548387,0.20840616921463193,1,2008,12
2009-01-01,1.2384870967741934,26.793225806451613,33.77161290322581,21.166129032258063,0.2787096774193549,17.984193548387097,21.0,7.856247354261786,2584.3648387096773,0.049422940087467844,0,2009,1
2009-02-01,1.3070107142857144,27.419285714285714,33.01357142857143,22.927500000000002,1.7764285714285715,17.32035714285714,20.0,7.86662257465145,2613.8282142857142,-0.14548880744319423,0,2009,2
2009-03-01,1.352516129032258,27.596451612903227,33.07258064516129,23.50548387096774,3.95,18.311290322580643,20.0,7.7972454715839925,2437.9454838709676,0.08181571258205196,0,2009,3
2009-04-01,1.38315,26.28033333333333,30.429333333333332,22.94633333333333,5.147666666666667,19.396666666666665,20.0,7.8281908347861275,2513.177,-0.08767123351566439,1,2009,4
2009-05-01,1.4098290322580647,25.726451612903226,29.434193548387096,22.706774193548387,5.430322580645162,19.274516129032257,19.0,7.79639007221754,2433.4938709677417,0.10846214563446763,0,2009,5
2009-06-01,1.4428766666666666,24.94333333333333,28.570666666666668,22.043333333333333,8.811,16.098,17.0,7.881088734811473,2648.811666666667,-0.04780460442431945,0,2009,6
2009-07-01,1.4593870967741935,24.11774193548387,27.87258064516129,21.15774193548387,7.711935483870968,14.265806451612903,17.0,7.910200219847144,2729.4509677419355,0.14180175166373638,0,2009,7
2009-08-01,1.4706129032258064,24.037096774193547,27.85741935483871,21.08290322580645,1.4748387096774194,12.66709677419355,19.0,7.968850738394659,2890.3348387096776,-0.03225451748357772,0,2009,8
2009-09-01,1.4605199999999998,24.863,28.860333333333333,21.504,2.756666666666667,13.652999999999999,19.0,8.026565372671858,3062.2826666666665,0.1081926701185133,0,2009,9
2009-10-01,1.454009677419355,25.254516129032258,29.57709677419355,21.718064516129033,5.413548387096774,15.884516129032258,23.0,8.088859225333554,3260.1293548387093,0.06792201648545844,1,2009,10
2009-11-01,1.44143,25.391000000000002,30.009666666666664,21.4,3.505333333333333,17.898000000000003,19.0,8.083598390208163,3241.6493333333333,-0.017366138487739734,1,2009,11
2009-12-01,1.435409677419355,26.81032258064516,33.243870967741934,21.578064516129032,0.5912903225806452,17.381612903225808,17.0,8.115456552258625,3346.4845161290323,-0.02060171833555968,1,2009,12
2010-01-01,1.4299000000000002,27.96483870967742,35.288387096774194,22.121612903225806,1.0641935483870968,17.581935483870968,18.0,8.11872921276815,3357.493548387097,-0.017635652844587252,0,2010,1
2010-02-01,1.429475,29.013214285714287,35.605714285714285,23.830714285714286,1.3078571428571428,19.363214285714285,20.0,8.03015013294444,3073.184642857143,-0.07844595319514913,0,2010,2
2010-03-01,1.427358064516129,28.09741935483871,33.638064516129035,23.975161290322582,2.612258064516129,17.338709677419356,17.0,7.969147796068226,2890.6987096774196,0.033941620110726274,1,2010,3
2010-04-01,1.4223066666666668,28.369333333333334,33.907666666666664,24.140666666666668,4.068333333333333,19.476333333333333,17.0,8.017154561492198,3035.2673333333337,0.07590508779463671,1,2010,4
2010-05-01,1.4204999999999999,26.916129032258063,31.27806451612903,23.594838709677422,4.739032258064516,17.864193548387096,18.0,8.005612437617842,3000.548387096774,-0.08768057561297322,0,2010,5
2010-06-01,1.4216866666666668,25.144333333333336,28.608,22.511333333333333,8.737333333333334,15.246,18.0,8.008971880798935,3008.510666666667,-0.018484925836272613,0,2010,6
